Film,Year,Body_Count,MPAA_Rating,Genre,Director,Actors,Length_Minutes,IMDB_Rating
Delta Force 2: The Colombian Connection,1990,92,,Action|Adventure|Thriller|War,Aaron Norris,Chuck Norris|Billy Drago|John P. Ryan|Richard Jaeckel|Begonya Plaza|Paul Perri|Héctor Mercado|Mark Margolis|Mateo Gómez|Ruth de Sosa|Gerald Castillo|Geoff Brewer|Rick Prieto|Sharlene Ross|Michael Heit|Dick Warlock|Chris Castillejo|Dave Brodett|Rina Reyes|Subas Herrero|Ronnie Lazaro|Miguel Faustmann|Kevin Kleppe|Mimi Sananes Wilheim|Jeff Hammett|Kelly Wicker|Trevor Kunz|Ruel Vernal|Roland Dantes|Roldan Aquino|Cris Aguilar|Reynaldo Guiao Jr.|Alberto Domínguez|Craig Judd|Michael Welborn|Roy Judd|Luis III Del Castillo|Eric Hahn|Jaime Miguel|Curtis Carter|Pita Liboro|Augusto Victa|Greg Hackbarth|Jerry Lapuz|Carlos Terry|Alan Vafides|Mike Warbis|Colin Massey|Steve Brown|Nils Cruz|Dan Furnad|Peter Lindsay|Andre Del Amo|Michael Myracle|Bill Campbell|Joe Collins|Thomas Davidson|Jim Dixon|Ever Etafo|Ramin Houmayoun|Ned Hourani|Peter Ladd|Tom Leith|Hakan Losnitz|Jon Mosher|Peter Norlin|Andrew Siegenthaler|Mike Silva|Berto Spoor|Don Wilson|Najid Jadali,111,4.5
Demolition Man,1993,25,R,Action|Crime|Sci-Fi|Thriller,Marco Brambilla,Sylvester Stallone|Wesley Snipes|Sandra Bullock|Nigel Hawthorne|Benjamin Bratt|Bob Gunton|Glenn Shadix|Denis Leary|Grand L. Bush|Pat Skipper|Steve Kahan|Paul Bollen|Mark Colson|Andre Gregory|John Enos III|Troy Evans|Don Charles McGovern|Bill Cobbs|Patricia Rive|Anneliza Scott|Dean Minerd|Kristopher Logan|Paul Perri|Susan Lentini|Casey Wallace|Trent Walker|Chris Durand|Brett A. Jones|Dan Cortese|Lara Harris|Sam Nehira|Claude Oatts|Alex Chapman|Brandy Ledford|Rosemarie Lagunas|Ken Baldwin|Jack Black|Michael Buice|Carlton Wilborn|Charles Glass|Ben Jurand|Billy D. Lucas|Rhino Michaels|Toshishiro Obata|Jesse Ventura|Alex Ardenti|Mark Atteberry|Adrienne Barbeau|Vanna Bonta|Tracee Cocco|Jennifer Darling|Ric Drasin|Mogens Eckert|Robert Grasmere|Bryan Hanna|Vasilika Vanya Marinkovic|Paul Dion Monte|Loralyn Peterson|Francis Praksti|Christopher Sararo|Rob Schneider|Stewart Skelton|Kevin Ula Christie,115,6.5
The Departed,2006,21,R,Crime|Drama|Thriller,Martin Scorsese,Leonardo DiCaprio|Matt Damon|Jack Nicholson|Mark Wahlberg|Martin Sheen|Ray Winstone|Vera Farmiga|Anthony Anderson|Alec Baldwin|Kevin Corrigan|James Badge Dale|David O'Hara|Mark Rolston|Robert Wahlberg|Kristen Dalton|Thomas B. Duffy|J.C. MacKenzie|Mary Klug|Peg Holzemer|Robert 'Toshi' Kar Yuen Chan|Gurdeep Singh|Armen Garo|John Cenatiempo|Joseph Riccobene|Billy Smith|Lyman Chen|Kevin P. McCarthy|Chris Fischer|Brian Smyj|William Severs|Larry Mitchell|Anthony Estrella|Andrew Breving|Tracey Paleo|Douglas Crosby|Dorothy Lyman|Audrie Neenan|Frank Mallicoat|Paula DeMers|Conor Donovan|Amanda Lynch|Sallie Toussaint|Patrick Coppola|Mick O'Rourke|Deborah Carlson|Nellie Sciutto|Peter Welch|Henry Yuk|Dennis Lynch|Michael Byron|William Lee|John Rue|Peter Crafts|Joseph P. Reidy|John Farrer|Paris Karounos|Brian Haley|Terry Serpico|Jay Giannone|John Polce|Bo Cleary|David Conley|Victor Chan|Jill Brown|Sarah Fearon|Tom Kemp|Denece Ryland|Zachary Pauliks|Daniel F. Risteen Jr.|Francis P. Hughes|Johnny Cicco|Chance Kelly|Shay Duffin|John McConnell|Kenneth Stoddard|Jeffrey Winter|Paddy Curran|Mark Philip Patrick|David Fischer|Walter Y.F. Wong|Tony M. Yee|Francesca Scorsese|Alex Morris|Emma Tillinger Koskoff|Craig Castaldo|Dick Hughes|James P. Anderson|Andrew Aninsman|Dion Baia|Takumi Bando|Vincent Bivona|Eric Bruno Borgman|David Boston|Tracey Brennan|Brendan Burke|Shana Carr|Chris Chinn|Vic Clay|Desiree April Connolly|Jeffrey Corazzini|Ed Cuffe|Buddy Dolan|Jim Evans|James Michael Farrell|Steve Flynn|Shawn Fogarty|Lorre Fritchy|Trudi Goodman|Mackenzie Hawe|Mark Hemphill|Henry Kwan|Crystal Lisbon|Steve Lord|Frank Mancuso|Oliver Martin|Adam Masnyk|Jack McCullough|Robert Myers|Nicolas Quilter|Osmani Rodriguez|Steve Scarfo|Billy Silvia|John Wayland Somers|Lawrence Cameron Steele|Stream|Alfredo Suarez|Conor Timmis|Donna Wong|Gail Yudain,151,8.5
Desperado,1995,80,R,Action|Crime|Thriller,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida|Cheech Marin|Steve Buscemi|Carlos Gómez|Quentin Tarantino|Tito Larriva|Angel Aviles|Danny Trejo|Abraham Verduzco|Carlos Gallardo|Albert Michel Jr.|David Alvarado|Angela Lanza|Mike Moroff|Robert Arevalo|Gerardo Moscoso|Peter Marquardt|Consuelo Gómez|Jaime de Hoyos|Cristos|Richie Gaona|Mark Dalton|Tommy Nix|Patricia Vonne|Elizabeth Rodriguez|Enrique Iglesias|Reinol Martinez|Diego Sandoval,104,7.2
The Devil's Rejects,2005,30,R,Horror,Rob Zombie,Sid Haig|Bill Moseley|Sheri Moon Zombie|William Forsythe|Ken Foree|Matthew McGrory|Leslie Easterbrook|Geoffrey Lewis|Priscilla Barnes|Dave Sheridan|Kate Norby|Lew Temple|Danny Trejo|Dallas Page|Brian Posehn|Elizabeth Daily|Tom Towles|Michael Berryman|P.J. Soles|Deborah Van Valkenburgh|Ginger Lynn|Jossara Jinaro|Chris Ellis|Mary Woronov|Daniel Roebuck|Duane Whitaker|Michael 'Red Bone' Alcott|Juanita Guzman|Sean Moran|Jordan Del Spina|Kelvin Brown|Glenn Taranto|Mike Bellesfield|Richard Epcar|Jessica Helmer|Kane Hodder|Tyler Mane|Nicholas Marino|Steve Railsback|Alex Revan|John H. Tobin|Robert Trebor,107,6.9
Diamonds Are Forever,1971,29,,Action|Adventure|Crime|Thriller,Guy Hamilton,Sean Connery|Jill St. John|Charles Gray|Lana Wood|Jimmy Dean|Bruce Cabot|Putter Smith|Bruce Glover|Norman Burton|Joseph Fürst|Bernard Lee|Desmond Llewelyn|Leonard Barr|Lois Maxwell|Margaret Lacey|Joe Robinson|David de Keyser|Laurence Naismith|David Bauer|Sammy Davis Jr.|Sid Haig|Marc Lawrence|John Abineri|Ray Baker|Ed Bishop|Nicky Blair|Larry J. Blake|Ed Call|George Lane Cooper|Dick Crockett|Catherine Deeney|Gary Dubin|Clifford Earl|Mark Elwes|Brinsley Forde|Constantine Gregory|David Healy|Karl Held|Roy Hollis|Bill Hutchinson|Janos Kurucz|Lola Larson|Debbie Letteau|Frank Mann|Connie Mason|Don Messick|Burt Metcalfe|Johnny Miller|Terence Mountain|Frank Olegario|Trina Parks|Denise Perrier|Valerie Perrine|Shane Rimmer|Henry Rowland|Gordon Ruttan|Jay Sarno|Tom Steele|Michael Valente|E.J. 'Tex' Young,120,6.7
Die Hard,1988,20,,Action|Thriller,John McTiernan,Bruce Willis|Bonnie Bedelia|Reginald VelJohnson|Paul Gleason|William Atherton|Hart Bochner|James Shigeta|Alan Rickman|Alexander Godunov|Bruno Doyon|De'voreaux White|Andreas Wisniewski|Clarence Gilyard Jr.|Joey Plewa|Lorenzo Caccialanza|Gérard Bonn|Dennis Hayden|Al Leong|Gary Roberts|Hans Buhringer|Wilhelm von Homburg|Robert Davi|Grand L. Bush|Bill Marcus|Rick Ducommun|Matt Landers|Carmine Zozzora|Dustyn Taylor|George Christy|Anthony Peck|Cheryl Baker|Richard Parker|David Ursin|Mary Ellen Trainor|Diana James|Shelley Pogoda|Selma Archerd|Scot Bennett|Rebecca Broussard|Kate Finlayson|Shanna Higgins|Kym Malin|Taylor Fry|Noah Land|Betty Carvalho|Kip Waldo|Mark Goldstein|Tracy Reiner|Rick Cicetti|Fred Lerner|Bill Margolin|Bob Jennings|Bruce P. Schultz|David Katz|Robert Lesser|Stella Hall|Terri Lynn Doss|Jon E. Greene|P. Randall Bowers|Michele Laybourn|Rick Bross|Marshall Dancing Elk Lucas|Charlie Picerni|Gary Pinkston|Mark Winn,131,8.3
Die Hard 2,1990,37,,Action|Thriller,Renny Harlin,Bruce Willis|Bonnie Bedelia|William Atherton|Reginald VelJohnson|Franco Nero|William Sadler|John Amos|Dennis Franz|Art Evans|Fred Dalton Thompson|Tom Bower|Sheila McCarthy|Don Harvey|Tony Ganios|Peter Nelson|Robert Patrick|Mick Cunningham|John Leguizamo|Tom Verica|John Costelloe|Vondie Curtis-Hall|Mark Boone Junior|Ken Baldwin|Danny Weselis|Jeff Langton|Gregg Kovan|Danial Donai|Don Charles McGovern|Bob 'Rocky' Cheli|Vincent Mazella Jr.|Dale Jacoby|Patrick O'Neal|Ben Lemon|Jason Ross-Azikiwe|Anthony Droz|Michael Francis Clarke|Steve Pershing|Tom Everett|Sherry Bilsing|Karla Tamburrelli|Jeanne Bates|Colm Meaney|Stephen Gregory Foster|James Lancaster|Amanda Hillwood|Felicity Waterman|Alan Berger|Vance Valencia|Gilbert Garcia|Julian Reyes|Richard Domeier|David Katz|Robert Lipton|Rob Steinberg|Paul Abascal|John Rubinow|Bob Braun|Dominique Jennings|Carol Barbee|Jerry E. Parrott|Martin Lowery|Robert Sacchi|Dick McGarvin|Edward Gero|Stafford Morgan|Robert J. Bennett|Nick Angotti|Jim Hudson|Tom Finnegan|Thomas Tofel|Earl Houston Bullock|Wynn Irwin|Rande Scott|Ken Smolka|Robert Costanzo|Lauren Letherer|Connie Lillo-Thieman|Ed DeFusco|Charles Lanyer|Bill Smillie|Dwayne Hargray|John Cade|Paul Bollen|Joseph Michael Roth|David Willis Sr.|George Fisher|Dean Wein|Dru Berrymore|Robert M. Bouffard|Michael Luggio|Russell McConnell|Dana Vargas,124,7.1
Die Hard: With a Vengeance,1995,26,R,Action|Crime|Thriller,John McTiernan,Bruce Willis|Jeremy Irons|Samuel L. Jackson|Graham Greene|Colleen Camp|Larry Bryggman|Anthony Peck|Nicholas Wyman|Sam Phillips|Kevin Chamberlin|Sharon Washington|Stephen Pearlman|Michael Alexander Jackson|Aldis Hodge|Mischa Hausserman|Edwin Hodge|Robert Sedgwick|Tony Halme|Bill Christ|Anthony Thomas|Glenn Herman|Kent Faulcon|Akili Prince|Ardie Fuqua|Mike Jefferson|Andre Ware|Michael Lee Merrins|Birdie M. Hale|Daryl Edwards|Barbara Hipkiss|Aasif Mandvi|Bill Kux|Scott Nicholson|Ralph Buckley|Charles Dumas|Michael Cristofer|Phyllis Yvonne Stickney|J.R. Horne|Michael Tadross|Elvis Duran|John McTiernan Sr.|Greg A. Skoric|Sven Toorvald|T. Alloy Langenfeld|Timothy Adams|John C. Vennema|Gerrit Vooren|Willis Sparks|Tony Travis|Danny Dutton|James Saito|Patrick Borriello|Víctor Rojas|Jeffrey Dreisbach|Joe Zaloom|John Doman|Patricia Mauceri|Franchelle Stewart Dorn|Kharisma|Gerry Becker|Richard Council|John Robert Tillotson|Ray Aranha|Phil Theis|Flip|Dory Binyon|David Vitt|John Hoyt|Bray Poor|Shari-Lyn Safir|Ivan Skoric|Faisal Hassan|Richard Russell Ramos|Angela Amato|Richard V. Allen|Shirley J. Hatcher|David P. Martin|James Patrick Whalen Sr.|Paul Simon|Carl Brewer|Alan Rickman|Steve Altes|Tony Brubaker|Vernon Campbell|Dick Durock|Jeannie Epper|Anibal O. Lleras|Michael Luggio|David Sontag|Alex Thaler|Don Vasicek|Ralph A. Villani|Don Wallace,131,7.6
Banlieue 13,2004,34,R,Action|Sci-Fi|Thriller,Pierre Morel,Cyril Raffaelli|David Belle|Tony D'Amario|Bibi Naceri|Dany Verissimo-Petit|François Chattot|Nicolas Woirion|Patrick Olivier|Samir Guesmi|Jérôme Gadner|Tarik Boucekhine|Grégory Jean|Warren Zavatta|Dominique Dorol|Ludovic Berthillot|Azad|Turan Bagci|Gilles Gambino|Chamsi Charlesia|Nicolas Wan Park|Alain Rimoux|Marc Andréoni|Roberto Gil|Patrick Médioni|Bernard Grenet|Lyès Salem|Christophe Maratier|Philippe Soutan|Michel Estrade|Jean-Marc Bellu|MC Jean Gab'1|Louis-Philippe Manuel|Olivier Lobe|Jeff Rudom|Jérôme Paquatte|Stephane Vigroux|Arnaud Klein,84,7.2
Disturbia,2007,10,PG-13,Drama|Mystery|Thriller,D.J. Caruso,Shia LaBeouf|Sarah Roemer|Carrie-Anne Moss|David Morse|Aaron Yoo|Jose Pablo Cantillo|Matt Craven|Viola Davis|Brandon Caruso|Luciano Rauso|Daniel Caruso|Kevin Quinn|Elyse Mirto|Suzanne Rico|Kent Shocknek|Rene Rivera|Amanda Walsh|Charles Carroll|Gillian Shure|Dominic Daniel|Lisa Tobin|Cindy Lou Adkins|Kurt David Anderson|Clayton Mattingly|Larry Varanelli,105,6.9
Domino,2005,51,R,Action|Biography|Crime|Drama|Thriller,Tony Scott,Keira Knightley|Mickey Rourke|Édgar Ramírez|Delroy Lindo|Mo'Nique|Mena Suvari|Macy Gray|Jacqueline Bisset|Dabney Coleman|Brian Austin Green|Ian Ziering|Stanley Kamel|Peter Jacobson|T.K. Carter|Kel O'Neill|Shondrella Avery|Lew Temple|Lucy Liu|Christopher Walken|Riz Abbasi|Joe Nunez|Dale Dickey|Charles Paraventi|Jerry Springer|Fred Koehler|Tom Waits|Tabitha Brownstone|Dusty Gilvaher|Chad Parker|Cheryl Francis Harrington|Ashley Monique Clark|Anthony Delan|Patrick Kerr|Adam Clark|Donna W. Scott|Julie Valine|Vic Manni|Michael Andolini|Janet Gonzalez|Mike G.|Eddie Hernandez|Liza Lapira|George Thabet|Mark Newsom|Jack McGee|Rolando Molina|Morgan Nagler|Ginger Kinison|Andy Milder|Neal Matarazzo|Robbie Kaller|Melissa Lee|Ash Christian|Michelle Fabiano|Phillip Darlington|Leonidos Iraheta|Paul Nguyen|Julian Berlin|Richard Burch|Mike Rademaekers|Celesta Hodge|Abraham Ashley|Lili Mirojnick|Mark Kinsey Stephenson|Leonardo Digirolamo|Richard Rand|Bruce Sparkes|Keith Dimmy|Frank Cilberg|Anne Chamberlain|Jeff Klein|Jesse Rosales|David Riley|Adham Shalabi|Jackson Bolt|Michael Bravo|Gabrielle Carteris|Mary Castro|Matt Clifford|Tony Collucci|Shannen Doherty|Rebecca Engel|Tony Flores|Jennie Garth|Vicki Goldsmith|Domino Harvey|Heidi Hawking|Jawara|Ashleigh Kizer|Brianna Konefall|Randolph LeRoi|James McElroy|Tiger Mendez|Greg Mitchell|Andrzej Mrotek|Michael Papajohn|Jesse Pate|Bob Pepper|Lilly Petruzzi|Chuck Picerni Jr.|Jason Priestley|Allie Raye|Abe Ruthless|Sabree|Lindsay Seim|Paul Sklar|Brian Spaeth|Zeke Unger|Lora Witty|Sarem Yadegari,127,6.0
Donnie Darko,2001,3,R,Drama|Mystery|Sci-Fi,Richard Kelly,Jake Gyllenhaal|Holmes Osborne|Maggie Gyllenhaal|Daveigh Chase|Mary McDonnell|James Duval|Arthur Taxier|Patrick Swayze|Mark Hoffman|David St. James|Tom Tangen|Jazzie Mahannah|Jolene Purdy|Stuart Stone|Gary Lundy|Alex Greenwald|Beth Grant|Jena Malone|Seth Rogen|David Moreland|Noah Wyle|Drew Barrymore|Kristina Malota|Marina Malota|Carly Naples|Tiler Peck|Patience Cleveland|Katharine Ross|Lisa K. Wyatt|Rachel Winfree|Jack Salvatore Jr.|Lee Weaver|Phyllis Lyons|Ashley Tisdale|Alison Jones|Jerry Trainor|Joan Blair|Sarah Hudson|Fran Kranz|Scotty Leavenworth|Conrad Angel Corral|Phil Hawn|Nancy Juvonen|Margaret Kontra Palmer|Dee Austin Robertson|Jack Truman,113,8.2
Dr. No,1962,8,,Action|Adventure|Crime|Thriller,Terence Young,Sean Connery|Ursula Andress|Joseph Wiseman|Jack Lord|Bernard Lee|Anthony Dawson|Zena Marshall|John Kitzmiller|Eunice Gayson|Lois Maxwell|Peter Burton|Yvonne Shima|Michel Mok|Marguerite LeWars|William Foster-Davis|Dolores Keator|Reggie Carter|Louis Blaazer|Colonel Burton|Martine Beswick|Chris Blackwell|Anthony Chinn|Eric Coverley|Margaret Ellery|Victor Harrington|John Hatton|Bettine Le Beau|Byron Lee|Henry Lopez|Stanley Morgan|Tim Moxon|Malou Pantera|Lester Prendergast|Milton Reid|Robert Rietty|Adrian Robinson|Maxwell Shaw|Bob Simmons|Nikki Van der Zyl,110,7.3
Dracula 2000,2000,18,R,Horror|Thriller,Patrick Lussier,Gerard Butler|Christopher Plummer|Jonny Lee Miller|Justine Waddell|Colleen Fitzpatrick|Jennifer Esposito|Omar Epps|Sean Patrick Thomas|Danny Masterson|Lochlyn Munro|Tig Fong|Tony Munch|Jeri Ryan|Shane West|Nathan Fillion|Tom Kane|Jonathan Whittaker|Robert Verlaque|Randy Butcher|Bill Davidson|Peter Cox|Chris Lamon|Herb Reischl Jr.|Duncan McLeod|Wayne Downer|Robert Racki|William Prael|Kaaron Briscoe|Scarlett Huntley|Harold Short|David J. Francis|Shimmy Silverman|Sean Carlo|Antonio Echeverria|Peter Devaney Flanagan|Jeremy Galeaz|Jeff Hanneman|Eric Santana Illarmo|Manou Lubowski|Devin C. Lussier|Kelsey Matheson|Gary J. Tunnicliffe,99,4.9
Dune,1984,186,,Action|Adventure|Sci-Fi,David Lynch,Francesca Annis|Leonardo Cimino|Brad Dourif|José Ferrer|Linda Hunt|Freddie Jones|Richard Jordan|Kyle MacLachlan|Virginia Madsen|Silvana Mangano|Everett McGill|Kenneth McMillan|Jack Nance|Siân Phillips|Jürgen Prochnow|Paul L. Smith|Patrick Stewart|Sting|Dean Stockwell|Max von Sydow|Alicia Witt|Sean Young|Danny Corkill|Honorato Magaloni|Judd Omen|Molly Wryn|Angélica Aragón|Miguel Cane|Humberto Elizondo|Ernesto Laguardia|David Lynch|James Mathers|Ramón Menéndez|Ana Ofelia Murguía|Claudia Ramírez|Julieta Rosen|John Sabol|Margarita Sanz|Jacqueline Voltaire,137,6.6
Equilibrium,2002,236,R,Action|Drama|Sci-Fi|Thriller,Kurt Wimmer,Christian Bale|Dominic Purcell|Sean Bean|Christian Kahrmann|John Keogh|Sean Pertwee|William Fichtner|Angus Macfadyen|David Barrash|Dirk Martens|Taye Diggs|Matthew Harbour|Maria Pia Calzone|Emily Siewert|Emily Watson|Mike Smith|Florian Fitz|Danny Lee Clark|Francesco Cabras|Kurt Wimmer|Anatole Taubman|Brian Conley|Alexa Summer|Brian W. Cook|Mehmet Kurtulus|David Hemmings|Klaus Schindler|Oliver Brandl|Armin Marewski|Wolfgang Stegemann|Sy Turner|Dennenesch Zoudé,107,7.6
Eraser,1996,52,R,Action|Drama|Mystery|Thriller,Chuck Russell,Arnold Schwarzenegger|James Caan|Vanessa Williams|James Coburn|Robert Pastorelli|James Cromwell|Danny Nucci|Andy Romano|Nick Chinlund|Michael Papajohn|Joe Viterelli|Mark Rolston|John Slattery|Robert Miranda|Roma Maffia|Tony Longo|Gerry Becker|John Snyder|Melora Walters|Olek Krupa|Cylk Cozart|K. Todd Freeman|Rocco Sisto|Gerald Berns|Steven Ford|Ismael 'East' Carlo|Tommy J. Huff|Rick Batalla|Michael Gregory|Patrick Kilpatrick|James Short|A.J. Nay|Camryn Manheim|Skipp Sudduth|Anthony Fusco|Gregory McKinney|Craig Barnett|Corey Joshua Taylor|Rick Marzan|Brian Libby|Danny Wynands|David Fonteno|Sonny King|Edward Rote|Mike Cameron|Tim Colceri|Dieter R. Trippel|Matthew Mahaney|Denis Forest|Christopher Mankiewicz|Mike Stone|Kevin Fry|Sam Scarber|Richie Varga|Diana Morgan|Ben Shenkman|Dominic Marcus|Pat Collins|Dorin Seymour|Clayton Landey|Terry Beeman|Michael Gregory Gong|Sebastian La Cause|Frank Minitello|Charles Chiquette|Glenndon Chatman|Camille Winbush|Vic Polizos|James Frank Clark|David Bilson|Al Cerullo|Rick Shuster|Frank Arcuri|Tom Billett|Matthew James Gulbranson|Mischa Hausserman|Patricia Holihan|Tom Lupo|Dave Mallow|David Novak|James Rekart|Sven-Ole Thorsen|Dan Warner,115,6.0
Escape from New York,1981,28,,Action|Sci-Fi,John Carpenter,Kurt Russell|Lee Van Cleef|Ernest Borgnine|Donald Pleasence|Isaac Hayes|Season Hubley|Harry Dean Stanton|Adrienne Barbeau|Tom Atkins|Charles Cyphers|Joe Unger|Frank Doubleday|John Strobel|John Cothran|Garrett Bergfeld|Richard Cosentino|Robert John Metcalf|Joel Bennett|Vic Bullock|Clem Fox|Tobar Mayo|Nancy Stephens|Steven M. Gagnon|Steven Ford|Michael Taylor|Lonnie Wun|Dale E. House|David R. Patrick|Bob Minor|Wally Taylor|James O'Hagen|James Emery|Tom Lillard|Borah Silver|Tony Papenfuss|John Diehl|Carmen Filpi|George 'Buck' Flower|Clay Wright|Al Cerullo|Ox Baker|Lowmoan Spectacular|Ronald E. House|Alan Shearman|Joseph A. Perrotti|Rodger Bumpass|Ron Vernan|Debra Hill|Carla Barnett|Kathleen Blanchard|John Carpenter|Nick Castle|John Contini|Jamie Lee Curtis|David E. Harshbarger|Mark Stern|Ken Tipton|Barron Winchester,99,7.2
Evil Dead II,1987,8,,Comedy|Horror,Sam Raimi,Bruce Campbell|Sarah Berry|Dan Hicks|Kassie Wesley DePaiva|Ted Raimi|Denise Bixler|Richard Domeier|John Peakes|Lou Hancock|Snowy Winters|Sid Abrams|Josh Becker|Scott Spiegel|Thomas Kidd|Mitch Cantor|Jenny Griffith|William Preston Robertson|Tony Elwood|Sam Raimi,84,7.9
Army of Darkness,1992,107,R,Comedy|Fantasy|Horror,Sam Raimi,Bruce Campbell|Embeth Davidtz|Marcus Gilbert|Ian Abercrombie|Richard Grove|Timothy Patrick Quill|Michael Earl Reid|Bridget Fonda|Patricia Tallman|Ted Raimi|Deke Anderson|Bruce Thomas|Sara Shearer|Shiva Gordon|Billy Bryan|Nadine Grycan|Bill Moseley|Micheal Kenney|Andy Bale|Robert Brent Lappin|Rad Milo|Brad Bradbury|Sol Abrams|Lorraine Axeman|Josh Becker|Sheri Burke|Don Campbell|Charlie Campbell|Harley Cokeliss|Ken Jepson|William Lustig|David O'Malley|David Pollison|Ivan Raimi|Bernard Rose|Bill Vincent|Chris Webster|Ron Zwang|J Michael Briggs|Eric Clarke|Angela Featherstone|Patricia Anne Isgate|Kevin O'Hara|Courtney Pakiz|Sam Raimi|Monique Yates Jr.,81,7.6
eXistenZ,1999,11,R,Sci-Fi,David Cronenberg,Jennifer Jason Leigh|Jude Law|Ian Holm|Willem Dafoe|Don McKellar|Callum Keith Rennie|Christopher Eccleston|Sarah Polley|Robert A. Silverman|Oscar Hsu|Kris Lemche|Vik Sahay|Kirsten Johnson|James Kirchner|Balázs Koós|Stephanie Belding|Gerry Quigley,97,6.8
Exit Wounds,2001,38,R,Action|Comedy|Crime|Drama|Thriller,Andrzej Bartkowiak,Steven Seagal|DMX|Isaiah Washington|Anthony Anderson|Michael Jai White|Bill Duke|Jill Hennessy|Tom Arnold|Bruce McGill|David Vadim|Eva Mendes|Matthew G. Taylor|Paolo Mastropietro|Shane Daly|Drag-On|Jennifer Irwin|Daniel Kash|Quancetia Hamilton|Rick Demas|Jason Stephens|Peter Kosaka|Christopher Lawford|Noah Danby|Shakira Harper|Eduardo Gómez|Yanira Contreras|Mario Torres|Jenny Celly|Rothaford Gray|Dean McKenzie|Thomas Seniuk|Bobby Johnson|Neville Edwards|Arnold Pinnock|Gregory Vitale|Shawn Lawrence|John Ralston|Simon Kim|James Kim|Shekib Ahmad Foroughi|Ekundayo Odesanyo|Christopher Oster|Naomi Gaskin|Phillip Jarrett|Michael Boisvert|John McConnach|Moses Nyarko|Eldridge Hyndman|Elio Campbell|Mark Williams|Stormm Bradshaw|Shannon Jobe|Kym Kristalie|Peter Walsh|Gary Johnston|Joe Alberico|Stone Conway|Barrington Bignall|Greg Zajac|Ed Semenuk|David Boyce|Jaime Estrada|Matt Birman|DTeflon,101,5.5
Face/Off,1997,56,R,Action|Crime|Sci-Fi|Thriller,John Woo,John Travolta|Nicolas Cage|Joan Allen|Alessandro Nivola|Gina Gershon|Dominique Swain|Nick Cassavetes|Harve Presnell|Colm Feore|John Carroll Lynch|CCH Pounder|Robert Wisdom|Margaret Cho|James Denton|Matt Ross|Chris Bauer|Myles Jeffrey|David McCurley|Thomas Jane|Tommy Flanagan|Dana Smith|Romy Windsor|Paul Hipp|Kirk Baltz|Lauren Sinclair|Ben Reed|Lisa Boyle|Linda Hoffman|Danny Masterson|Michael Rocha|Megan Paul|Mike Werb|Tom Reynolds|Steve Hytner|Carmen Thomas|John Bloom|Walter Scott|Brooke Leslie|Cam Brainard|David Warshofsky|John Neidlinger|Norm Compton|Gregg Shawzin|Clifford Einstein|Marco Kyris|Tom Fridley|Andrew Wallace|Jacinto Rodriguez|Chic Daniel|Laurence Walsh|Tony Boldi|Jason Thomas Campbell|Tory Christopher|John Leonhardt|Isaac Mayanja|William Morts|Thomas Rosales Jr.|Robert 'Bobby Z' Zajonc|Del Zamora,138,7.3
Fair Game,1995,21,R,Action|Thriller,Andrew Sipes,William Baldwin|Cindy Crawford|Steven Berkoff|Christopher McDonald|Miguel Sandoval|Johann Carlo|Salma Hayek|John Bedford Lloyd|Olek Krupa|Jenette Goldstein|Marc Macaulay|Sonny Carl Davis|Frank Medrano|Don Yesso|Paul Dillon|Gustav Vintas|Christian Bodegaard|Gary Francis Hope|Hank Stone|Ski Zawaski|Nancy Ann Nahra|Anthony Giaimo|Carmen López|Erika Navarro|Pamela Berrard|Mark Wheatle|Bubba Baker|Scott Michael Campbell|Ruben Rabasa|James R. Greene|Antoni Corone|Orlando Delbert|Dan Hedaya,91,4.1
4: Rise of the Silver Surfer,2007,6,PG,Action|Fantasy|Sci-Fi|Thriller,Tim Story,Ioan Gruffudd|Jessica Alba|Chris Evans|Michael Chiklis|Julian McMahon|Kerry Washington|Andre Braugher|Laurence Fishburne|Doug Jones|Beau Garrett|Brian Posehn|Zach Grenier|Dawn Chubai|Chris Gailus|Kevin McNulty|Andy Stahl|Debbie Timuss|Moneca Delain|Crystal Lowe|Chris Calleri|Kenneth Welsh|Benjamin Ayres|Vanessa Lachey|Alicia Thorgrimsson|Valerie Tian|Jeanna Haddow|Ali Costigan|Patricia Harras|Gonzalo Menendez|Suzanne Ristic|Giuliana Rancic|Lauren Sanchez|Malcolm Boddington|Cole Landels|Cameron Cleary|Stan Lee|Silver Butler|Michasha Armstrong|Hitoshi Ikezaki|Peter Kawasaki|Fareed Abdelhak|Heather Cant|Graeme Duffy|Ulla Friis|Taylor James|Mike Mitchell|John Andrew Vaas|Mashiah Vaughn-Hulbert,92,5.6
